"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         169,      -7.247676605,      -6.555163857,      -7.499677331,      -7.601874285,      -6.636204613,       -9.53920799
          0,           0,         170,      -7.249621651,      -6.557390401,       -7.50744996,      -7.612888084,      -6.638145709,      -9.539059667
          0,           0,         171,      -7.251280113,      -6.559556324,      -7.515111679,      -7.623843423,      -6.639809247,       -9.53891725
          0,           0,         172,      -7.252707086,      -6.561671428,      -7.522661856,      -7.634739932,      -6.641252532,      -9.538780965
          0,           0,         173,      -7.253962988,      -6.563746243,      -7.530104497,      -7.645589409,      -6.642536689,      -9.538650554
          0,           0,         174,      -7.255110823,      -6.565791477,      -7.537446002,      -7.656410671,      -6.643723915,      -9.538525362
          0,           0,         175,      -7.256213265,      -6.567817548,      -7.544693042,       -7.66722452,      -6.644874702,      -9.538405299
          0,           0,         176,       -7.25732991,      -6.569834337,      -7.551850931,      -7.678049258,      -6.646045439,      -9.538289912
          0,           0,         177,       -7.25851465,      -6.571850598,      -7.558922361,      -7.688896975,      -6.647286252,      -9.538179266
          0,           0,         178,      -7.259813617,      -6.573873644,      -7.565906688,      -7.699770212,       -6.64863941,      -9.538073699
          0,           0,         179,      -7.261263676,      -6.575909197,      -7.572800289,       -7.71066148,      -6.650138228,      -9.537974348
          0,           0,         180,      -7.262891706,      -6.577961155,      -7.579597157,      -7.721554021,      -6.651806739,      -9.537881253
          0,           0,         181,      -7.264714346,      -6.580031685,      -7.586290358,      -7.732424465,      -6.653659665,       -9.53779507
          0,           0,         182,        -7.2667379,      -6.582121226,      -7.592873442,      -7.743246124,      -6.655702432,      -9.537716239
          0,           0,         183,      -7.268958963,       -6.58422868,      -7.599341895,      -7.753993371,      -6.657931772,      -9.537645286
          0,           0,         184,      -7.271365264,      -6.586351675,      -7.605694426,      -7.764645939,      -6.660336409,      -9.537582989
          0,           0,         185,      -7.273936733,      -6.588486726,      -7.611933586,      -7.775191969,      -6.662897898,      -9.537529918
          0,           0,         186,      -7.276646695,      -6.590629306,      -7.618065688,      -7.785629819,      -6.665591543,      -9.537486318
          0,           0,         187,      -7.279463351,      -6.592774272,      -7.624100551,      -7.795968734,      -6.668387569,      -9.537452485
          0,           0,         188,       -7.28235136,      -6.594916114,      -7.630050501,      -7.806227286,      -6.671252461,      -9.537428648
          0,           0,         189,      -7.285273505,      -6.597049205,      -7.635928996,      -7.816430358,      -6.674150443,      -9.537414892
          0,           0,         190,       -7.28819234,      -6.599168006,      -7.641749271,      -7.826605899,      -6.677045028,      -9.537411261
          0,           0,         191,      -7.291070859,      -6.601267343,      -7.647522993,      -7.836779585,      -6.679899585,       -9.53741783
          0,           0,         192,      -7.293875166,      -6.603342525,      -7.653259116,      -7.846976422,      -6.682680245,      -9.537434405
          0,           0,         193,      -7.296578047,       -6.60538956,      -7.658963928,      -7.857217541,      -6.685359598,      -9.537460851
          0,           0,         194,      -7.299155757,         -6.607405,      -7.664639791,      -7.867504407,      -6.687913281,      -9.537497304
          0,           0,         195,      -7.301590351,      -6.609377148,       -7.67028214,      -7.877830325,      -6.690322829,      -9.537546492
          0,           0,         196,      -7.303868815,      -6.611287162,      -7.675881062,      -7.888177112,      -6.692574915,        -9.5376017
          0,           0,         197,      -7.305982914,      -6.613215609,      -7.681461597,      -7.898531767,       -6.69466121,      -9.537664558
          0,           0,         198,      -7.307938398,      -6.615104389,      -7.686996783,      -7.908883426,      -6.696587483,      -9.537735854
          0,           0,         199,      -7.309741406,      -6.616953934,      -7.692479617,      -7.919214999,      -6.698360248,      -9.537815062
          0,           0,         200,      -7.311403594,      -6.618769508,      -7.697905479,      -7.929501513,      -6.699991794,        -9.5379016
          0,           0,         201,      -7.312941244,      -6.620555251,      -7.703270637,      -7.939724844,      -6.701499062,      -9.537995029
          0,           0,         202,       -7.31437345,      -6.622315045,      -7.708572901,      -7.949874029,      -6.702901781,      -9.538095086
          0,           0,         203,      -7.315721435,       -6.62405285,      -7.713811489,      -7.959944506,       -6.70422174,      -9.538201383
          0,           0,         204,      -7.317007958,      -6.625772806,      -7.718986903,      -7.969937361,      -6.705482093,      -9.538313656
          0,           0,         205,      -7.318256427,        -6.6274791,      -7.724100595,      -7.979858084,       -6.70670642,      -9.538431797
          0,           0,         206,      -7.319489872,      -6.629175805,      -7.729154556,      -7.989714871,      -6.707917682,      -9.538555674
          0,           0,         207,      -7.320729963,      -6.630866744,      -7.734150892,      -7.999516602,      -6.709137264,      -9.538685078
          0,           0,         208,      -7.321996296,      -6.632555563,      -7.739091576,      -8.009271006,      -6.710384299,      -9.538820204
          0,           0,         209,      -7.323305634,      -6.634245319,      -7.743977871,      -8.018982718,       -6.71167497,      -9.538961151
          0,           0,         210,      -7.324671446,      -6.635938472,      -7.748810272,      -8.028652071,       -6.71302212,      -9.539108049
          0,           0,         211,      -7.326103611,      -6.637636812,      -7.753588665,      -8.038275161,      -6.714435022,      -9.539260956
          0,           0,         212,      -7.327608326,        -6.6393415,      -7.758312624,      -8.047844125,      -6.715919339,       -9.53942014
          0,           0,         213,       -7.32918812,      -6.641053008,      -7.762981505,      -8.057347947,      -6.717477189,      -9.539585607
          0,           0,         214,      -7.330842055,       -6.64277124,      -7.767594792,      -8.066774216,       -6.71910736,      -9.539757438
          0,           0,         215,      -7.332566014,      -6.644495583,      -7.772152428,      -8.076110983,      -6.720805616,      -9.539935758
          0,           0,         216,      -7.334353096,      -6.646224972,      -7.776655037,      -8.085348396,       -6.72256507,      -9.540120658
          0,           0,         217,      -7.336194144,      -6.647957974,      -7.781104072,      -8.094480006,      -6.724376684,      -9.540312272
          0,           0,         218,      -7.338078137,       -6.64969287,      -7.785501718,      -8.103503697,      -6.726229635,      -9.540510752
          0,           0,         219,      -7.339992707,      -6.651427742,      -7.789850854,       -8.11242166,      -6.728111791,      -9.540716212
          0,           0,         220,      -7.341924905,       -6.65316059,      -7.794154923,      -8.121239358,       -6.73001043,      -9.540928837
          0,           0,         221,      -7.343861671,      -6.654889405,      -7.798417629,      -8.129965298,      -6.731912701,      -9.541148762
          0,           0,         222,      -7.345790343,      -6.656612236,      -7.802642535,      -8.138609432,      -6.733806121,      -9.541375872
          0,           0,         223,      -7.347699159,      -6.658327283,      -7.806832924,      -8.147181797,      -6.735679056,      -9.541610098
          0,           0,         224,      -7.349577713,      -6.660033015,       -7.81099164,      -8.155691116,      -6.737521179,      -9.541851613
          0,           0,         225,      -7.351417242,      -6.661728127,      -7.815120835,      -8.164143508,      -6.739323782,      -9.542100222
          0,           0,         226,      -7.353210904,      -6.663411622,      -7.819221991,      -8.172542186,      -6.741080049,      -9.542355948
          0,           0,         227,      -7.354953916,       -6.66508281,      -7.823295896,      -8.180887057,      -6.742785222,      -9.542618574
          0,           0,         228,      -7.356643608,      -6.666741332,      -7.827342767,      -8.189175212,      -6.744436668,      -9.542887766
          0,           0,         229,      -7.358279413,       -6.66838718,      -7.831362462,      -8.197401689,      -6.746033875,      -9.543163432
          0,           0,         230,      -7.359862775,      -6.670020716,      -7.835354682,      -8.205560186,      -6.747578361,      -9.543445479
          0,           0,         231,      -7.361396916,      -6.671642525,      -7.839318909,      -8.213644245,      -6.749073447,      -9.543733613
          0,           0,         232,      -7.362886595,       -6.67325346,      -7.843254695,      -8.221648469,       -6.75052401,      -9.544027639
          0,           0,         233,      -7.364337855,      -6.674854608,      -7.847161841,      -8.229568232,      -6.751936201,      -9.544327498
          0,           0,         234,      -7.365757713,      -6.676447268,      -7.851040397,      -8.237401595,      -6.753317137,      -9.544633301
          0,           0,         235,      -7.367153853,      -6.678032958,      -7.854890773,      -8.245149198,       -6.75467458,      -9.544945319
