"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         144,      -3.992375502,      -3.195149735,      -3.236939939,      -1.948948936,      -10.03498616
          0,           0,         145,      -3.990384521,      -3.191903467,      -3.235342246,      -1.947054092,      -10.03124205
          0,           0,         146,      -3.988410222,      -3.188539955,      -3.233622114,      -1.945184989,       -10.0274808
          0,           0,         147,      -3.986448203,      -3.185084468,       -3.23177369,       -1.94333593,       -10.0236957
          0,           0,         148,      -3.984493961,      -3.181568061,      -3.229797296,       -1.94150083,      -10.01993815
          0,           0,         149,      -3.982542964,      -3.178025429,      -3.227699433,      -1.939673405,      -10.01619408
          0,           0,         150,      -3.980590699,      -3.174492575,       -3.22549238,      -1.937847339,      -10.01248691
          0,           0,         151,      -3.978632689,       -3.17100443,      -3.223193411,      -1.936016417,      -10.00883681
          0,           0,         152,      -3.976664482,      -3.167592627,      -3.220823696,      -1.934174626,      -10.00523186
          0,           0,         153,      -3.974681622,       -3.16428356,      -3.218406972,      -1.932316211,      -10.00166715
          0,           0,         154,      -3.972679579,      -3.161096841,       -3.21596808,      -1.930435674,      -9.998084877
          0,           0,         155,       -3.97065368,      -3.158044241,      -3.213531481,      -1.928527722,      -9.994490777
          0,           0,         156,      -3.968599021,      -3.155129151,      -3.211119851,      -1.926587193,      -9.990912828
          0,           0,         157,      -3.966510398,      -3.152346602,      -3.208752851,      -1.924608939,        -9.9873764
          0,           0,         158,       -3.96438224,      -3.149683813,      -3.206446136,      -1.922587699,      -9.983896297
          0,           0,         159,       -3.96220858,      -3.147121254,      -3.204210663,      -1.920517981,      -9.980479449
          0,           0,         160,      -3.959983076,      -3.144634156,      -3.202052333,       -1.91839398,      -9.977111905
          0,           0,         161,       -3.95769907,      -3.142194373,      -3.199971955,      -1.916209528,      -9.973737605
          0,           0,         162,      -3.955349715,      -3.139772494,      -3.197965547,      -1.913958116,      -9.970307816
          0,           0,         163,      -3.952928152,      -3.137340051,      -3.196024913,      -1.911632983,      -9.966912327
          0,           0,         164,      -3.950427755,      -3.134871668,      -3.194138478,      -1.909227298,       -9.96357662
          0,           0,         165,      -3.947842418,      -3.132346968,      -3.192292286,      -1.906734404,      -9.960278772
          0,           0,         166,      -3.945166859,      -3.129752089,      -3.190471104,      -1.904148131,      -9.957035148
          0,           0,         167,      -3.942396957,      -3.127080669,      -3.188659535,      -1.901463163,      -9.953793649
          0,           0,         168,      -3.939530071,      -3.124334209,      -3.186843058,      -1.898675433,      -9.950538746
          0,           0,         169,      -3.936565308,      -3.121521776,        -3.1850089,       -1.89578249,      -9.947255648
          0,           0,         170,      -3.933503734,      -3.118659083,      -3.183146671,      -1.892783828,       -9.94401104
          0,           0,         171,      -3.930348514,      -3.115767029,      -3.181248715,      -1.889681165,       -9.94077339
          0,           0,         172,      -3.927104942,      -3.112869841,      -3.179310148,      -1.886478601,      -9.937521892
          0,           0,         173,      -3.923780337,      -3.109992964,      -3.177328566,      -1.883182626,      -9.934337339
          0,           0,         174,      -3.920383863,      -3.107160902,      -3.175303468,      -1.879802035,      -9.931262562
          0,           0,         175,      -3.916926252,      -3.104395165,      -3.173235471,      -1.876347721,       -9.92823136
          0,           0,         176,      -3.913419404,      -3.101712468,      -3.171125352,      -1.872832286,      -9.925057073
          0,           0,         177,      -3.909875946,      -3.099123336,       -3.16897303,      -1.869269568,       -9.92182979
          0,           0,         178,      -3.906308828,      -3.096631178,      -3.166776649,      -1.865674203,      -9.918666843
          0,           0,         179,      -3.902730845,      -3.094231916,      -3.164531759,      -1.862061031,      -9.915623807
          0,           0,         180,      -3.899154223,      -3.091914188,      -3.162230748,      -1.858444552,      -9.912711225
          0,           0,         181,       -3.89559033,      -3.089660129,       -3.15986262,      -1.854838501,      -9.909840653
          0,           0,         182,      -3.892049466,       -3.08744669,       -3.15741314,      -1.851255478,      -9.906960429
          0,           0,         183,      -3.888540713,       -3.08524742,      -3.154865333,      -1.847706633,      -9.903941386
          0,           0,         184,      -3.885071984,      -3.083034599,      -3.152200416,      -1.844201564,      -9.900964368
          0,           0,         185,      -3.881650205,      -3.080781581,      -3.149399087,      -1.840748395,      -9.898055295
          0,           0,         186,       -3.87828152,      -3.078465147,       -3.14644302,      -1.837353853,      -9.895191052
          0,           0,         187,      -3.874971652,      -3.076067698,      -3.143316572,      -1.834023583,      -9.892391283
          0,           0,         188,      -3.871726319,      -3.073579059,      -3.140008512,      -1.830762541,      -9.889612758
          0,           0,         189,      -3.868551625,      -3.070997755,      -3.136513582,      -1.827575406,      -9.886855512
          0,           0,         190,      -3.865454448,      -3.068331592,      -3.132833817,      -1.824467033,      -9.884033506
          0,           0,         191,      -3.862442757,      -3.065597506,       -3.12897946,      -1.821442877,       -9.88114077
