Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
58,0.856186,0,2.46458,-0,6.05738e-08,0,0,0,0,0,0,1.04131,1.07667,-0.00830308,1.49787,0.985833,-0.0665181,0.00102143,0.000149306,0.000108902,0.00103801,1.12985,0,0,0,0,8.4737
59,0.852421,0,2.4535,-0,6.05692e-08,0,0,0,0,0,0,1.03013,1.07667,-0.00951812,1.49013,0.981399,-0.0753861,0.00103525,0.000144317,0.000105668,0.00105058,1.12974,0,0,0,0,8.54152
60,0.851853,0,2.45182,-0,6.05684e-08,0,0,0,0,0,0,1.02812,1.07667,-0.00972689,1.48874,0.980729,-0.0767259,0.00103719,0.000143689,0.000105096,0.00105236,1.12972,0,0,0,0,8.55053
61,0.493105,0,1.4204,-0,6.05924e-08,0,0,0,0,0,0,0.720065,1.07667,0.0217104,1.29545,0.568161,-0.901862,0.000216168,-2.3033e-05,1.23371e-05,0.000217741,1.13031,0,0,0,0,2.62906
62,0.587069,0,1.69484,-0,6.06987e-08,0,0,0,0,0,0,0.73411,1.07667,0.0223851,1.30332,0.677937,-0.68231,-0.000159609,2.23287e-05,-7.70249e-06,0.000161347,1.13295,0,0,0,0,3.71902
63,0.642496,0,1.85633,-0,6.07422e-08,0,0,0,0,0,0,0.748869,1.07667,0.0229577,1.3117,0.742532,-0.553121,-0.000352937,4.49454e-05,-1.3416e-05,0.00035604,1.13403,0,0,0,0,4.29757
64,0.664611,0,1.91995,-0,6.07364e-08,0,0,0,0,0,0,0.764261,1.07667,0.023413,1.32055,0.767979,-0.502226,-0.000449725,5.45268e-05,-1.25304e-05,0.000453192,1.13388,0,0,0,0,4.96181
65,0.670742,0,1.937,-0,6.07209e-08,0,0,0,0,0,0,0.7802,1.07667,0.0237312,1.32985,0.774801,-0.488582,-0.00052627,7.35869e-05,-9.3314e-06,0.000531472,1.1335,0,0,0,0,5.40785
66,0.67558,0,1.95057,-0,6.07115e-08,0,0,0,0,0,0,0.796591,1.07667,0.0238896,1.33953,0.780229,-0.477726,-0.0005743,9.56827e-05,-3.89808e-06,0.00058223,1.13327,0,0,0,0,5.69557
67,0.683299,0,1.97287,-0,6.07117e-08,0,0,0,0,0,0,0.813335,1.07667,0.023866,1.34956,0.789147,-0.459891,-0.00060102,0.000121769,3.04405e-06,0.000613239,1.13327,0,0,0,0,5.89551
68,0.696886,0,2.01241,-0,6.07187e-08,0,0,0,0,0,0,0.830329,1.07667,0.0236431,1.35986,0.804964,-0.428257,-0.000603701,0.000149096,1.07099e-05,0.000621932,1.13345,0,0,0,0,6.0089
69,0.713066,0,2.05962,-0,6.07295e-08,0,0,0,0,0,0,0.84747,1.07667,0.0232123,1.37039,0.823848,-0.390488,-0.000575793,0.000176732,1.78062e-05,0.000602568,1.13371,0,0,0,0,5.99408
70,0.729341,0,2.10715,-0,6.07408e-08,0,0,0,0,0,0,0.864651,1.07667,0.022577,1.38107,0.842859,-0.352467,-0.000526683,0.000202828,2.33242e-05,0.00056487,1.13399,0,0,0,0,5.87389
71,0.744307,0,2.15088,-0,6.07513e-08,0,0,0,0,0,0,0.881769,1.07667,0.0217531,1.39184,0.860354,-0.317478,-0.00047021,0.000227797,2.70274e-05,0.000523182,1.13425,0,0,0,0,5.71381
72,0.848885,0,2.4431,-0,6.0565e-08,0,0,0,0,0,0,1.01817,1.07667,-0.0107583,1.48189,0.977239,-0.0837057,0.00104678,0.000140764,0.000102264,0.00106114,1.12964,0,0,0,0,8.59421
73,0.845253,0,2.43241,-0,6.05607e-08,0,0,0,0,0,0,1.00545,1.07667,-0.0120195,1.47319,0.972966,-0.0922536,0.00105687,0.000138401,9.89937e-05,0.00107048,1.12953,0,0,0,0,8.6373
74,0.841355,0,2.42094,-0,6.05558e-08,0,0,0,0,0,0,0.991997,1.07667,-0.0132988,1.46405,0.968375,-0.101435,0.0010664,0.000136698,9.60003e-05,0.0010794,1.12941,0,0,0,0,8.67856
75,0.836698,0,2.40723,-0,6.055e-08,0,0,0,0,0,0,0.977844,1.07667,-0.0145919,1.45451,0.962892,-0.1124,0.00107793,0.000135333,9.33644e-05,0.0010904,1.12926,0,0,0,0,8.7147
76,0.831072,0,2.39068,-0,6.05429e-08,0,0,0,0,0,0,0.963043,1.07667,-0.0158912,1.44462,0.95627,-0.125645,0.0010927,0.000133651,9.08665e-05,0.00110459,1.12909,0,0,0,0,8.75679
77,0.824233,0,2.37056,-0,6.05344e-08,0,0,0,0,0,0,0.947657,1.07667,-0.0171831,1.43442,0.948223,-0.141738,0.00111212,0.000131137,8.81543e-05,0.00112329,1.12888,0,0,0,0,8.81055
78,0.887044,0,2.55473,-0,6.05973e-08,0,0,0,0,0,0,1.10079,1.07667,-0.000927906,1.53979,1.02189,0.00559756,0.00104896,0.000249764,0.000131731,0.0010863,1.13044,0,0,0,0,8.71264
79,1.08935,0,3.15061,-0,6.07897e-08,0,0,0,0,0,0,0.625478,1.07667,-0.00936032,1.2452,1.26024,0.482303,0.00125812,0.00037355,-0.000639409,0.00145988,1.13521,0,0,0,0,10.2999
80,1.16583,0,3.37631,-0,6.08505e-08,0,0,0,0,0,0,0.622634,1.07667,-0.00717005,1.24376,1.35052,0.662865,0.000917568,0.000603464,-0.00053484,0.00122154,1.13672,0,0,0,0,9.72082
81,1.21509,0,3.52185,-0,6.08882e-08,0,0,0,0,0,0,0.620663,1.07667,-0.00483519,1.24276,1.40874,0.779294,0.000569796,0.0007908,-0.000171804,0.000989722,1.13765,0,0,0,0,8.94824
82,1.20533,0,3.4938,-0,6.08912e-08,0,0,0,0,0,0,0.619484,1.07667,-0.0024355,1.24217,1.39752,0.756854,0.000399614,0.000938661,0.000430331,0.00110723,1.13773,0,0,0,0,9.27297
83,1.11759,0,3.23684,-0,6.0854e-08,0,0,0,0,0,0,0.619085,1.07667,0,1.24197,1.29474,0.551289,0.000793739,0.00138041,0.00183076,0.00242637,1.1368,0,0,0,0,5.53405
84,0.986725,0,2.85058,-0,6.0738e-08,0,0,0,0,0,0,0.619484,1.07667,0.0024355,1.24217,1.14023,0.24228,0.000918375,0.000626033,0.0017118,0.00204098,1.13392,0,0,0,0,11.4198
85,0.821819,0,2.36453,-0,6.05521e-08,0,0,0,0,0,0,0.620663,1.07667,0.00483519,1.24276,0.945813,-0.146558,0.0014005,0.000234778,0.00190175,0.00237343,1.12932,0,0,0,0,11.4608
86,0.652424,0,1.86906,-0,6.03553e-08,0,0,0,0,0,0,0.622634,1.07667,0.00717005,1.24376,0.747624,-0.542937,0.00199396,-0.000146053,0.00195323,0.00279505,1.12445,0,0,0,0,11.0917
87,0.49941,0,1.42498,-0,6.01731e-08,0,0,0,0,0,0,0.625478,1.07667,0.00936032,1.2452,0.569994,-0.898197,0.00255625,-0.00050743,0.00175044,0.00313942,1.11995,0,0,0,0,10.3317
88,0.758376,0,2.19199,-0,6.07609e-08,0,0,0,0,0,0,0.898722,1.07667,0.020767,1.40262,0.876798,-0.284589,-0.00041412,0.000252711,2.90924e-05,0.000486009,1.13449,0,0,0,0,5.55817
89,0.771129,0,2.22925,-0,6.07689e-08,0,0,0,0,0,0,0.915415,1.07667,0.0196526,1.41336,0.891699,-0.254786,-0.000362334,0.000278269,2.98937e-05,0.000457835,1.13469,0,0,0,0,5.43554
90,0.782502,0,2.26244,-0,6.07754e-08,0,0,0,0,0,0,0.931754,1.07667,0.0184465,1.42398,0.904978,-0.228229,-0.000316736,0.000304216,2.98696e-05,0.000440184,1.13485,0,0,0,0,5.36547
91,0.792661,0,2.29207,-0,6.07805e-08,0,0,0,0,0,0,0.947657,1.07667,0.0171831,1.43442,0.916828,-0.204528,-0.000277827,0.00033032,2.94219e-05,0.000432626,1.13498,0,0,0,0,5.34613
