"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,         161,      -4.416100011,      -1.512247831,      -1.493488753,      -1.495994606,       1.062389707
          0,           0,         162,      -4.427342415,      -1.523896426,      -1.500408638,      -1.500933576,       1.050950745
          0,           0,         163,      -4.440058971,      -1.537399581,        -1.5081411,      -1.506637918,       1.038004345
          0,           0,         164,      -4.454328823,      -1.552977653,      -1.516621579,       -1.51310549,       1.023456161
          0,           0,         165,      -4.470183999,      -1.570846934,      -1.525781565,      -1.520335097,       1.007254928
          0,           0,         166,      -4.487579613,      -1.591211349,      -1.535557517,      -1.528333412,      0.9894288111
          0,           0,         167,      -4.506359101,       -1.61425635,      -1.545893902,      -1.537113315,      0.9701188692
          0,           0,         168,      -4.526273783,      -1.640120634,      -1.556747805,      -1.546694741,      0.9495630355
          0,           0,         169,      -4.547007073,      -1.668858935,      -1.568082855,      -1.557094458,      0.9280759887
          0,           0,         170,      -4.568166476,      -1.700388333,      -1.579856368,      -1.568311204,      0.9060591635
          0,           0,         171,      -4.589271505,      -1.734419845,      -1.592007624,      -1.580310998,      0.8840163604
          0,           0,         172,      -4.609763523,      -1.770376967,      -1.604450031,      -1.593016772,      0.8625495471
          0,           0,         173,      -4.629018267,      -1.807308506,       -1.61707277,      -1.606307061,      0.8423440727
          0,           0,         174,      -4.646444181,       -1.84379745,      -1.629746079,      -1.620025748,      0.8240711349
          0,           0,         175,      -4.661535734,      -1.877939961,      -1.642331019,      -1.633988837,      0.8083208637
          0,           0,         176,      -4.673958859,      -1.907478189,      -1.654687958,      -1.647998419,      0.7955000852
          0,           0,         177,      -4.683593044,       -1.93019282,      -1.666687466,      -1.661852742,      0.7857743266
          0,           0,         178,      -4.690544101,      -1.944524771,      -1.678218012,      -1.675360197,      0.7790439747
          0,           0,         179,      -4.695123228,      -1.950137417,      -1.689194694,      -1.688351542,       0.774967104
          0,           0,         180,      -4.697787999,      -1.948036243,       -1.69956634,      -1.700691324,      0.7730273244
          0,           0,         181,      -4.699060046,      -1.940152847,      -1.709318416,      -1.712283735,      0.7726295262
          0,           0,         182,      -4.699513567,      -1.928696065,      -1.718476695,      -1.723079124,      0.7731322297
          0,           0,         183,      -4.699655731,      -1.915660052,      -1.727102408,      -1.733074264,      0.7739651732
          0,           0,         184,      -4.699946467,      -1.902598093,       -1.73528936,      -1.742312513,      0.7746210098
          0,           0,         185,      -4.700777572,      -1.890611308,       -1.74315634,      -1.750875603,      0.7746747397
          0,           0,         186,      -4.702465272,      -1.880424025,      -1.750834736,      -1.758875094,      0.7737898164
          0,           0,         187,      -4.705247949,      -1.872484322,      -1.758457251,      -1.766440784,      0.7717159301
          0,           0,         188,      -4.709296477,      -1.867051557,      -1.766154163,      -1.773712788,      0.7682765873
          0,           0,         189,      -4.714716691,      -1.864253866,      -1.774043513,      -1.780829925,      0.7633635569
          0,           0,         190,         -4.721574,       -1.86413658,      -1.782226018,      -1.787924465,      0.7569121707
          0,           0,         191,      -4.729877266,      -1.866692896,      -1.790779499,      -1.795112357,      0.7489138183
          0,           0,         192,      -4.739587732,      -1.871874996,      -1.799754163,      -1.802488834,       0.739407331
          0,           0,         193,      -4.750631821,      -1.879609623,      -1.809169555,      -1.810125418,      0.7284664658
          0,           0,         194,      -4.762885003,      -1.889794354,      -1.819013545,      -1.818065195,      0.7162156461
          0,           0,         195,      -4.776173583,      -1.902299793,      -1.829240054,       -1.82632352,      0.7028281292
          0,           0,         196,      -4.790275736,      -1.916955178,      -1.839772391,      -1.834891551,      0.6885269338
          0,           0,         197,      -4.804918382,      -1.933532762,      -1.850507528,      -1.843741245,      0.6735888106
          0,           0,         198,      -4.819782326,      -1.951722459,      -1.861322279,      -1.852830976,      0.6583404625
          0,           0,         199,      -4.834515011,      -1.971097394,       -1.87208036,       -1.86211016,      0.6431477517
          0,           0,         200,      -4.848748323,      -1.991073843,      -1.882638224,      -1.871520851,      0.6283985853
          0,           0,         201,      -4.862111439,      -2.010898552,      -1.892845427,      -1.880991816,      0.6144892631
          0,           0,         202,      -4.874261555,       -2.02965243,      -1.902546091,       -1.89043063,      0.6017931963
          0,           0,         203,      -4.884906632,      -2.046319115,      -1.911581185,       -1.89971581,      0.5906341487
          0,           0,         204,      -4.893832832,      -2.059912224,      -1.919797996,      -1.908699746,      0.5812553341
          0,           0,         205,      -4.900929233,      -2.069645239,       -1.92706695,      -1.917223341,      0.5737904014
          0,           0,         206,      -4.906199347,        -2.0750823,      -1.933304539,      -1.925135286,       0.568249846
          0,           0,         207,      -4.909763912,      -2.076225967,      -1.938490982,      -1.932317173,      0.5645174475
          0,           0,         208,      -4.911844864,      -2.073496973,      -1.942680058,      -1.938703641,      0.5623664608
          0,           0,         209,      -4.912747228,      -2.067622259,        -1.9459976,      -1.944292643,      0.5614794977
          0,           0,         210,      -4.912824483,      -2.059481627,      -1.948628523,      -1.949146539,      0.5614856231
          0,           0,         211,      -4.912448945,      -2.049968343,      -1.950796339,      -1.953383156,      0.5619935597
          0,           0,         212,      -4.911983199,       -2.03988876,      -1.952743042,      -1.957162275,      0.5626223377
          0,           0,         213,      -4.911754001,      -2.029913266,      -1.954710419,      -1.960666329,      0.5630286365
          0,           0,         214,      -4.912045666,      -2.020572051,      -1.956927346,      -1.964087528,      0.5629145443
          0,           0,         215,      -4.913091751,      -2.012265431,      -1.959597907,        -1.9676133,      0.5620356117
          0,           0,         216,      -4.915074933,      -2.005283821,      -1.962895573,      -1.971417944,      0.5602008667
          0,           0,         217,      -4.918123757,      -1.999827659,      -1.966958826,      -1.975653564,      0.5572751923
          0,           0,         218,      -4.922319697,      -1.996025973,      -1.971891662,      -1.980446768,      0.5531723351
          0,           0,         219,      -4.927702867,       -1.99395324,      -1.977764739,      -1.985896695,      0.5478488494
          0,           0,         220,      -4.934268434,      -1.993641672,      -1.984616981,      -1.992075204,      0.5413069926
          0,           0,         221,      -4.941978734,      -1.995091451,      -1.992458085,      -1.999027905,      0.5335832737
          0,           0,         222,      -4.950755966,      -1.998279708,         -2.001269,      -2.006774603,       0.524755435
          0,           0,         223,      -4.960485093,      -2.003160764,      -2.011004515,      -2.015309679,      0.5149400449
          0,           0,         224,      -4.971011539,      -2.009673466,      -2.021592114,       -2.02460298,      0.5042953347
