"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    
          0,           0,         315,      -10.01959008,      -9.760171133,      -10.33819033,      -10.50793797
          0,           0,         316,      -10.05174912,      -9.785480501,      -10.36259051,       -10.5337703
          0,           0,         317,      -10.07998534,      -9.812198226,        -10.392817,      -10.57207014
          0,           0,         318,      -10.10427886,      -9.840244816,      -10.40195744,      -10.58449651
          0,           0,         319,      -10.12540196,      -9.870778539,      -10.43126512,      -10.61991442
          0,           0,         320,       -10.1432856,      -9.901885637,      -10.45894447,       -10.6545226
          0,           0,         321,       -10.1556511,      -9.932471442,      -10.48539887,      -10.69332015
          0,           0,         322,      -10.16479823,      -9.960344641,      -10.51051265,      -10.72943458
          0,           0,         323,      -10.17087715,      -9.983384679,      -10.53317768,      -10.75896804
          0,           0,         324,      -10.17590871,      -10.00097952,      -10.55309344,      -10.78140405
          0,           0,         325,       -10.1814451,      -10.01336852,      -10.56855789,      -10.79647734
          0,           0,         326,      -10.18869782,      -10.02142962,      -10.58071058,      -10.80419611
