"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     
          0,           0,         309,     -0.5276663049,       2.648976032,       2.740834561
          0,           0,         310,     -0.5276663064,       2.648956198,       2.740814731
          0,           0,         311,     -0.5276663073,       2.648936541,       2.740795078
          0,           0,         312,     -0.5276663048,       2.648968482,       2.740827013
          0,           0,         313,     -0.5276663067,       2.648939824,        2.74079836
          0,           0,         314,     -0.5276663093,       2.648903885,       2.740762428
          0,           0,         315,     -0.5276663103,       2.648890718,       2.740749263
          0,           0,         316,     -0.5276663091,       2.648912207,       2.740770749
          0,           0,         317,     -0.5276663083,       2.648923987,       2.740782526
          0,           0,         318,     -0.5276663073,       2.648937683,        2.74079622
          0,           0,         319,     -0.5276663103,       2.648895182,       2.740753727
          0,           0,         320,     -0.5276663077,       2.648933269,       2.740791806
          0,           0,         321,     -0.5276663088,        2.64891353,       2.740772072
          0,           0,         322,     -0.5276663101,       2.648896463,       2.740755008
          0,           0,         323,     -0.5276663115,       2.648883819,       2.740742366
          0,           0,         324,     -0.5276663051,       2.648970513,       2.740829043
          0,           0,         325,     -0.5276663099,       2.648903396,       2.740761939
          0,           0,         326,     -0.5276663049,       2.648972217,       2.740830747
          0,           0,         327,     -0.5276663063,        2.64895511,       2.740813643
          0,           0,         328,     -0.5276663069,       2.648946018,       2.740804553
          0,           0,         329,     -0.5276663107,       2.648890511,       2.740749057
          0,           0,         330,     -0.5276663076,       2.648939524,       2.740798061
          0,           0,         331,      -0.527666308,       2.648930913,       2.740789451
          0,           0,         332,     -0.5276663062,       2.648955628,       2.740814162
          0,           0,         333,     -0.5276663083,       2.648925812,       2.740784351
          0,           0,         334,     -0.5276663078,       2.648935859,       2.740794396
          0,           0,         335,     -0.5276663094,       2.648907076,       2.740765619
          0,           0,         336,     -0.5276663088,       2.648915584,       2.740774125
          0,           0,         337,     -0.5276663103,       2.648895703,       2.740754248
          0,           0,         338,     -0.5276663097,       2.648906071,       2.740764614
          0,           0,         339,     -0.5276663079,       2.648933792,        2.74079233
          0,           0,         340,     -0.5276663081,       2.648931388,       2.740789926
          0,           0,         341,     -0.5276663076,       2.648937648,       2.740796185
          0,           0,         342,     -0.5276663064,       2.648953487,       2.740812021
          0,           0,         343,      -0.527666309,       2.648915473,       2.740774014
          0,           0,         344,     -0.5276663085,       2.648922887,       2.740781426
          0,           0,         345,     -0.5276663055,       2.648968116,       2.740826647
          0,           0,         346,     -0.5276663105,       2.648894963,       2.740753508
          0,           0,         347,     -0.5276663068,       2.648946471,       2.740805006
          0,           0,         348,     -0.5276663097,       2.648907996,       2.740766538
          0,           0,         349,     -0.5276663086,       2.648923858,       2.740782397
          0,           0,         350,     -0.5276663104,       2.648899335,       2.740757879
          0,           0,         351,     -0.5276663051,       2.648973076,       2.740831606
          0,           0,         352,     -0.5276663071,       2.648946132,       2.740804667
          0,           0,         353,     -0.5276663059,       2.648964526,       2.740823058
          0,           0,         354,      -0.527666305,       2.648976642,       2.740835172
          0,           0,         355,     -0.5276663081,        2.64892766,       2.740786199
          0,           0,         356,     -0.5276663091,       2.648910161,       2.740768703
          0,           0,         357,     -0.5276663079,       2.648928681,       2.740787219
          0,           0,         358,     -0.5276663099,        2.64890235,       2.740760894
          0,           0,         359,     -0.5276663104,       2.648894897,       2.740753443
