"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         207,      -6.722442411,      -4.556859802,               -32,      -4.919732335,      -4.318273945,      -9.256988597
          0,           0,         208,      -6.661737281,      -4.556614166,               -32,      -4.918905743,      -4.314337795,      -9.250327708
          0,           0,         209,      -6.665595222,      -4.556270831,               -32,      -4.918052731,      -4.315801701,      -9.243731754
          0,           0,         210,      -6.716907961,      -4.555854624,               -32,      -4.917043914,      -4.312870406,      -9.237213933
          0,           0,         211,      -6.762548021,      -4.555393985,               -32,       -4.91606976,       -4.30994672,      -9.230750531
          0,           0,         212,       -6.72229834,      -4.554854949,               -32,      -4.915037934,      -4.309672938,       -9.22434009
          0,           0,         213,      -6.659477613,      -4.554300704,               -32,       -4.91382316,      -4.305595401,      -9.217949633
          0,           0,         214,       -6.66122515,      -4.553639158,               -32,      -4.912607931,      -4.306936908,      -9.211616613
          0,           0,         215,      -6.712365615,      -4.552896257,               -32,      -4.911271481,      -4.304172174,      -9.205351242
          0,           0,         216,      -6.759566287,      -4.552107811,               -32,      -4.909965667,      -4.301199974,      -9.199137309
          0,           0,         217,      -6.719153298,       -4.55123394,               -32,       -4.90862834,      -4.300989701,      -9.192950004
          0,           0,         218,      -6.656900108,      -4.550345092,               -32,      -4.907106023,      -4.296922303,      -9.186774968
          0,           0,         219,      -6.658222615,      -4.549341318,               -32,       -4.90561529,      -4.298290745,      -9.180627549
          0,           0,         220,      -6.710958727,      -4.548252822,               -32,      -4.904034658,      -4.295689265,       -9.17451475
          0,           0,         221,       -6.75596545,      -4.547117144,               -32,      -4.902483019,      -4.292932634,      -9.168405523
          0,           0,         222,      -6.712396062,      -4.545893182,               -32,      -4.900928472,      -4.292733623,      -9.162262454
          0,           0,         223,      -6.655673609,      -4.544656851,               -32,      -4.899184586,      -4.288843441,      -9.156067412
          0,           0,         224,      -6.658948918,      -4.543298329,               -32,      -4.897519927,      -4.290437873,      -9.149835479
          0,           0,         225,       -6.71648706,      -4.541859568,               -32,      -4.895781657,      -4.287875167,      -9.143578781
          0,           0,         226,      -6.752385232,       -4.54036685,               -32,      -4.894087767,      -4.285717021,      -9.137287698
          0,           0,         227,       -6.70106557,      -4.538790156,               -32,      -4.892414662,      -4.285236267,      -9.130966132
          0,           0,         228,       -6.65821328,        -4.5372044,               -32,      -4.890549201,      -4.281813624,      -9.124601003
          0,           0,         229,      -6.666829507,      -4.535493475,               -32,      -4.888822686,      -4.283566581,       -9.11816811
          0,           0,         230,      -6.731713215,       -4.53372134,               -32,      -4.887006202,      -4.280799505,      -9.111641307
          0,           0,         231,       -6.74762599,       -4.53188145,               -32,      -4.885280881,      -4.279774192,      -9.105004943
          0,           0,         232,      -6.683664314,      -4.529974711,               -32,      -4.883568014,      -4.278443603,      -9.098263941
          0,           0,         233,      -6.662396176,      -4.528051419,               -32,      -4.881700212,      -4.276161991,      -9.091413272
          0,           0,         234,      -6.682089551,      -4.526013632,               -32,      -4.880005423,      -4.277385013,      -9.084442003
          0,           0,         235,      -6.749861757,      -4.523949068,               -32,      -4.878178671,      -4.274375054,      -9.077314803
          0,           0,         236,      -6.735821964,      -4.521804062,               -32,      -4.876521349,      -4.274900982,      -9.070001999
          0,           0,         237,      -6.660459605,      -4.519624668,               -32,      -4.874796696,      -4.272393297,      -9.062491782
          0,           0,         238,      -6.657463425,      -4.517393546,               -32,      -4.873070307,      -4.272218598,      -9.054790661
          0,           0,         239,       -6.69709685,      -4.515077983,               -32,      -4.871462776,      -4.271941755,      -9.046889103
          0,           0,         240,       -6.75265447,       -4.51276096,               -32,      -4.869737008,      -4.269325771,      -9.038764238
          0,           0,         241,       -6.71061793,      -4.510370748,               -32,      -4.868219907,      -4.270465741,      -9.030412255
          0,           0,         242,      -6.652325217,      -4.507987034,               -32,       -4.86650267,      -4.267480942,      -9.021830321
          0,           0,         243,      -6.662578038,      -4.505513581,               -32,      -4.865023368,      -4.269363323,      -9.013012151
          0,           0,         244,      -6.726498062,      -4.503002197,               -32,      -4.863507405,      -4.267492237,      -9.003958577
          0,           0,         245,      -6.745575529,      -4.500470184,               -32,      -4.862043058,      -4.266569641,      -8.994658726
          0,           0,         246,      -6.678398146,      -4.497901607,               -32,      -4.860676515,      -4.265942602,      -8.985098436
          0,           0,         247,      -6.664320469,      -4.495347794,               -32,      -4.859142967,      -4.264328666,      -8.975262043
          0,           0,         248,      -6.694646853,      -4.492716269,               -32,      -4.857894273,      -4.265559565,       -8.96515265
          0,           0,         249,      -6.758267448,      -4.490104253,               -32,      -4.856469436,      -4.263136294,      -8.954762558
          0,           0,         250,      -6.725328957,       -4.48744502,               -32,      -4.855319631,      -4.264404667,       -8.94409607
          0,           0,         251,      -6.655262974,      -4.484806292,               -32,      -4.854002666,      -4.261835825,      -8.933163702
          0,           0,         252,       -6.66547807,      -4.482127199,               -32,      -4.852882243,      -4.263131826,      -8.921978156
          0,           0,         253,       -6.72475694,      -4.479429983,               -32,      -4.851781614,       -4.26181953,      -8.910546485
